cell_id,pair,tf,direction,percentile,horizon_bars,vol_quintile,n_trades,win_rate,ev_pip,ev_pct,profit_factor,wilson_lower_95,sharpe_annual,kelly_fraction,max_dd_pct,mae_mean_pct,mae_p5_pct,mfe_mean_pct,year_flip_count,p_value,bonferroni_pass,bh_fdr_pass,verdict,period_start,period_end,bt_data_source,generated_at
USD_JPY_H1_LONG_SHOCK_1_3_Q5,USD_JPY,H1,LONG_SHOCK,0.01,3,Q5,54,0.37037037037037035,-19.501851851851868,-0.1253217432101011,0.3772692330435829,0.25423375191660275,-21.554717467799186,-0.6315786218138023,-7.5999310122625054,-0.3226517644683826,-1.091372547211768,0.1714865238223091,0,0.9766569576115874,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_6_ALL,USD_JPY,H1,LONG_SHOCK,0.01,6,ALL,79,0.5063291139240507,-15.502531645569785,-0.09965760614400654,0.5127899112861485,0.3983739722469014,-16.20096808347471,-0.4739967879217074,-9.15967338736038,-0.37016882049975774,-1.083889096286582,0.207819660748995,0,0.9660665753140895,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_6_Q1,USD_JPY,H1,LONG_SHOCK,0.01,6,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_6_Q2,USD_JPY,H1,LONG_SHOCK,0.01,6,Q2,3,0.6666666666666666,16.70000000000016,0.10272998460886991,3.2168141592920656,0.20765960080204768,33.82016272726217,0.44247682609702466,0.0,-0.1238259545099522,-0.26317669412616596,0.33146272888338785,1,0.2649518641546494,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_6_Q3,USD_JPY,H1,LONG_SHOCK,0.01,6,Q3,10,0.6,5.009999999999479,0.028868577447676014,1.3781132075471256,0.3126737697336583,8.694039188629548,0.14800419579442592,-0.23928472170441362,-0.24386861279680372,-0.7476953205087006,0.19008255765293303,0,0.3659186552597732,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_6_Q4,USD_JPY,H1,LONG_SHOCK,0.01,6,Q4,12,0.4166666666666667,-3.7333333333336327,-0.023320976759142836,0.7776674937965099,0.19326031365875665,-6.906175385218613,-0.11137912821105705,-0.8672890694635838,-0.24646559879040833,-0.6164299082905927,0.158509481157613,1,0.6179432584725333,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_6_Q5,USD_JPY,H1,LONG_SHOCK,0.01,6,Q5,54,0.5,-23.705555555555648,-0.15166620171426246,0.40656436882851915,0.3711458304022563,-21.550834265597835,-0.7148561394084663,-8.954622891012532,-0.43473306745366785,-1.6282066648824354,0.21519306781666214,0,0.9766379046806218,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_12_ALL,USD_JPY,H1,LONG_SHOCK,0.01,12,ALL,79,0.4936708860759494,-15.891139240506297,-0.1001455764977137,0.6167653702912268,0.38630272176150804,-12.56464502603579,-0.29389420770301605,-13.046332620390821,-0.46876864714869426,-1.6428556488036306,0.28592493843357547,1,0.9225011809024851,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_12_Q1,USD_JPY,H1,LONG_SHOCK,0.01,12,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_12_Q2,USD_JPY,H1,LONG_SHOCK,0.01,12,Q2,3,0.6666666666666666,27.86666666666709,0.16597219814098452,2.2115942028985733,0.20765960080204768,23.016569557730538,0.34057461968169256,0.0,-0.20927123728547622,-0.4938789576200808,0.44685373314883314,1,0.3296099359954536,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_12_Q3,USD_JPY,H1,LONG_SHOCK,0.01,12,Q3,10,0.5,12.889999999999873,0.08238143503367712,3.1483333333333325,0.236593090512564,27.816756232474074,0.33773865651492374,-0.20200239962582245,-0.2582917595416745,-0.7476953205087006,0.24211052289403456,1,0.1436260907291152,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_12_Q4,USD_JPY,H1,LONG_SHOCK,0.01,12,Q4,12,0.4166666666666667,-4.766666666666926,-0.026032248894375387,0.7983074753173383,0.19326031365875665,-6.066252290289233,-0.08461583541638878,-1.3067087178272763,-0.3479668796859218,-0.6942631145405065,0.23944682245589655,1,0.6040003441301252,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_1_12_Q5,USD_JPY,H1,LONG_SHOCK,0.01,12,Q5,54,0.5,-26.12407407407397,-0.16520082409901116,0.5072995250069862,0.3711458304022563,-18.06804991945334,-0.46672392144071306,-12.329384614889749,-0.5490072085415296,-1.9508954411521586,0.29542670071101584,1,0.9531877447699041,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_1_ALL,USD_JPY,H1,SHORT_SHOCK,0.01,1,ALL,83,0.43373493975903615,-2.138554216867648,-0.01496390361413489,0.7474388161638975,0.3323916544628671,-9.430927405326488,-0.15639967472030042,-2.6623927961193616,-0.11383951020085005,-0.31853107579106976,0.09139446446882853,1,0.8637633877548425,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_1_Q1,USD_JPY,H1,SHORT_SHOCK,0.01,1,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_1_Q2,USD_JPY,H1,SHORT_SHOCK,0.01,1,Q2,9,0.3333333333333333,-11.72222222222293,-0.07925625078155024,0.35116851168510227,0.1205838183869109,-32.92482061430166,-0.6033609774702702,-0.9944651326768139,-0.17952595993860157,-0.3895979701812968,0.06694737152883354,0,0.8801290833401056,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_1_Q3,USD_JPY,H1,SHORT_SHOCK,0.01,1,Q3,9,0.4444444444444444,0.777777777777702,0.005453319414779519,1.366492146596818,0.18877852109766458,10.74477758115466,0.12605638370722538,-0.08006852276497556,-0.09076320712401535,-0.16872204099876775,0.0756149478268458,1,0.34470366079798326,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_1_Q4,USD_JPY,H1,SHORT_SHOCK,0.01,1,Q4,20,0.6,2.3799999999998533,0.013947619553386081,1.3544303797468165,0.3865815007622531,8.719719535543305,0.1428302459834297,-0.6479742888115925,-0.08988866493188086,-0.1784117722107048,0.09695171893963295,1,0.31091386643011665,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_1_Q5,USD_JPY,H1,SHORT_SHOCK,0.01,1,Q5,45,0.37777777777777777,-2.81333333333344,-0.019038444638666243,0.6726990692864425,0.25108084672137915,-12.64438486866281,-0.18977652860843364,-1.1781955717705905,-0.11596230098820853,-0.3037656411831602,0.09696989550931098,1,0.859325055581346,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_3_ALL,USD_JPY,H1,SHORT_SHOCK,0.01,3,ALL,83,0.40963855421686746,-4.793975903614645,-0.032816185360463025,0.6761090761090635,0.31012912673980514,-11.320658695567113,-0.21815279839788582,-5.958796665696209,-0.18108671991115605,-0.4229472820219826,0.14600094524180057,1,0.9057700970929727,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_3_Q1,USD_JPY,H1,SHORT_SHOCK,0.01,3,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_3_Q2,USD_JPY,H1,SHORT_SHOCK,0.01,3,Q2,9,0.2222222222222222,-10.877777777777927,-0.07339552049276943,0.4644420131290964,0.06322510711784671,-19.180170764567745,-0.24891120068509048,-1.1816691523033107,-0.2247326194498177,-0.568612490305076,0.1228123321353901,0,0.7597437147388731,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_3_Q3,USD_JPY,H1,SHORT_SHOCK,0.01,3,Q3,9,0.5555555555555556,7.599999999999341,0.048932177416627365,2.910614525139629,0.26665129349549305,23.2729356692505,0.3615151765548378,-0.12283748957543361,-0.13114995229745896,-0.21485793481071047,0.16640344820706668,0,0.1977606414978125,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_3_Q4,USD_JPY,H1,SHORT_SHOCK,0.01,3,Q4,20,0.5,-1.9250000000000966,-0.014398458917710966,0.8397836038285448,0.29929800819821234,-5.814558253268911,-0.11060955113842041,-1.3422158406912077,-0.14807201716596052,-0.41389211711835794,0.1485018501926516,1,0.6291180361099714,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_3_Q5,USD_JPY,H1,SHORT_SHOCK,0.01,3,Q5,45,0.37777777777777777,-7.331111111111252,-0.049235647086198514,0.5713357588357473,0.25108084672137915,-16.238462579679556,-0.3169165876311616,-3.5636156845724853,-0.19701809474624998,-0.4221253689513049,0.1454466539585401,1,0.9158415632866937,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
