pair,mult,t,side,entry,target,d_pips,lag_bars,adverse_pips,result,gross_pips,net_pips,iso_week
EUR_USD,3.0,2014-01-02 09:00:00+00:00,BUY,1.37279,1.37574,29.50000000000008,1,13.300000000000534,loss,-29.50000000000008,-31.50000000000008,2014-W01
EUR_USD,3.0,2014-01-02 18:00:00+00:00,BUY,1.36663,1.37411,74.7999999999993,3,38.000000000000256,loss,-74.7999999999993,-76.7999999999993,2014-W01
EUR_USD,3.0,2014-01-03 08:00:00+00:00,SELL,1.36379,1.36284,9.500000000000064,14,37.199999999999456,loss_tie,-9.500000000000064,-11.500000000000064,2014-W01
EUR_USD,3.0,2014-01-06 10:00:00+00:00,BUY,1.36158,1.36751,59.299999999999905,4,45.600000000001195,loss,-59.299999999999905,-61.299999999999905,2014-W02
EUR_USD,3.0,2014-01-07 06:00:00+00:00,SELL,1.36185,1.35702,48.30000000000112,12,33.49999999999964,win,48.30000000000112,46.30000000000112,2014-W02
EUR_USD,3.0,2014-01-07 12:00:00+00:00,BUY,1.36416,1.36521,10.499999999999954,6,32.30000000000066,loss,-10.499999999999954,-12.499999999999954,2014-W02
EUR_USD,3.0,2014-01-07 15:00:00+00:00,SELL,1.36054,1.35702,35.20000000000189,3,49.999999999998934,win,35.20000000000189,33.20000000000189,2014-W02
EUR_USD,3.0,2014-01-08 05:00:00+00:00,BUY,1.36284,1.36521,23.699999999999832,14,33.10000000000146,loss,-23.699999999999832,-25.699999999999832,2014-W02
EUR_USD,3.0,2014-01-08 10:00:00+00:00,SELL,1.35826,1.35702,12.400000000001299,5,51.49999999999988,loss_tie,-12.400000000001299,-14.400000000001299,2014-W02
EUR_USD,3.0,2014-01-08 15:00:00+00:00,BUY,1.35985,1.3634,35.49999999999942,2,32.600000000000406,loss,-35.49999999999942,-37.49999999999942,2014-W02
EUR_USD,3.0,2014-01-08 17:00:00+00:00,SELL,1.35689,1.35663,2.5999999999992696,2,47.20000000000057,loss_tie,-2.5999999999992696,-4.59999999999927,2014-W02
EUR_USD,3.0,2014-01-09 06:00:00+00:00,BUY,1.35928,1.36171,24.299999999999322,11,40.50000000000109,win,24.299999999999322,22.299999999999322,2014-W02
EUR_USD,3.0,2014-01-09 14:00:00+00:00,SELL,1.3569,1.35663,2.6999999999999247,1,62.99999999999972,loss,-2.6999999999999247,-4.699999999999925,2014-W02
EUR_USD,3.0,2014-01-09 20:00:00+00:00,BUY,1.36036,1.36171,13.499999999999623,6,55.400000000001,win,13.499999999999623,11.499999999999623,2014-W02
EUR_USD,3.0,2014-01-13 13:00:00+00:00,SELL,1.3645,1.36093,35.70000000000073,22,41.29999999999967,loss,-35.70000000000073,-37.70000000000073,2014-W03
EUR_USD,3.0,2014-01-14 08:00:00+00:00,BUY,1.36817,1.36863,4.599999999999049,19,45.30000000000145,loss,-4.599999999999049,-6.599999999999049,2014-W03
EUR_USD,3.0,2014-01-15 01:00:00+00:00,SELL,1.36375,1.36363,1.2000000000012,17,60.80000000000085,loss_tie,-1.2000000000012,-3.2000000000012,2014-W03
EUR_USD,3.0,2014-01-16 03:00:00+00:00,BUY,1.3618,1.36321,14.100000000001334,12,38.10000000000091,loss,-14.100000000001334,-16.100000000001334,2014-W03
EUR_USD,3.0,2014-01-16 17:00:00+00:00,SELL,1.35925,1.35802,12.300000000000644,3,56.400000000000894,loss,-12.300000000000644,-14.300000000000644,2014-W03
EUR_USD,3.0,2014-01-17 07:00:00+00:00,BUY,1.35962,1.36171,20.899999999999253,14,14.600000000000168,loss,-20.899999999999253,-22.899999999999253,2014-W03
EUR_USD,3.0,2014-01-17 13:00:00+00:00,SELL,1.35768,1.35523,24.500000000000632,6,42.599999999999305,win,24.500000000000632,22.500000000000632,2014-W03
EUR_USD,3.0,2014-01-20 08:00:00+00:00,BUY,1.35545,1.36199,65.3999999999999,8,48.10000000000203,win,65.3999999999999,63.399999999999906,2014-W04
EUR_USD,3.0,2014-01-21 08:00:00+00:00,SELL,1.35365,1.35065,30.000000000001137,16,30.700000000001282,loss,-30.000000000001137,-32.00000000000114,2014-W04
EUR_USD,3.0,2014-01-21 16:00:00+00:00,BUY,1.35586,1.35671,8.500000000000174,4,43.8000000000005,loss,-8.500000000000174,-10.500000000000174,2014-W04
EUR_USD,3.0,2014-01-22 08:00:00+00:00,SELL,1.35395,1.35152,24.299999999999322,5,39.49999999999898,loss,-24.299999999999322,-26.299999999999322,2014-W04
EUR_USD,3.0,2014-01-22 13:00:00+00:00,BUY,1.35743,1.35791,4.8000000000003595,5,39.80000000000094,loss,-4.8000000000003595,-6.8000000000003595,2014-W04
EUR_USD,3.0,2014-01-22 19:00:00+00:00,SELL,1.35469,1.35336,13.300000000000534,6,35.799999999999166,win,13.300000000000534,11.300000000000534,2014-W04
EUR_USD,3.0,2014-01-23 07:00:00+00:00,BUY,1.35862,1.36199,33.70000000000095,7,57.10000000000104,win,33.70000000000095,31.700000000000948,2014-W04
EUR_USD,3.0,2014-01-24 13:00:00+00:00,SELL,1.36882,1.35821,106.10000000000008,2,49.800000000002065,win,106.10000000000008,104.10000000000008,2014-W04
EUR_USD,3.0,2014-01-27 09:00:00+00:00,BUY,1.36938,1.37383,44.50000000000065,18,26.199999999998447,loss,-44.50000000000065,-46.50000000000065,2014-W05
EUR_USD,3.0,2014-01-27 11:00:00+00:00,SELL,1.36707,1.36681,2.5999999999992696,2,44.6000000000013,win,2.5999999999992696,0.5999999999992696,2014-W05
EUR_USD,3.0,2014-01-28 06:00:00+00:00,BUY,1.36846,1.37155,30.90000000000037,17,32.79999999999949,loss,-30.90000000000037,-32.900000000000375,2014-W05
EUR_USD,3.0,2014-01-28 09:00:00+00:00,SELL,1.36508,1.35336,117.20000000000174,3,37.00000000000036,win,117.20000000000174,115.20000000000174,2014-W05
EUR_USD,3.0,2014-01-28 13:00:00+00:00,BUY,1.36657,1.36872,21.499999999998742,3,37.799999999998946,loss,-21.499999999998742,-23.499999999998742,2014-W05
EUR_USD,3.0,2014-01-29 03:00:00+00:00,SELL,1.36518,1.3628,23.800000000000487,13,32.80000000000172,loss,-23.800000000000487,-25.800000000000487,2014-W05
EUR_USD,3.0,2014-01-29 09:00:00+00:00,BUY,1.36728,1.36847,11.900000000000244,6,26.100000000000012,loss,-11.900000000000244,-13.900000000000244,2014-W05
EUR_USD,3.0,2014-01-29 12:00:00+00:00,SELL,1.36366,1.3628,8.60000000000083,3,47.000000000001485,win,8.60000000000083,6.600000000000829,2014-W05
EUR_USD,3.0,2014-01-29 14:00:00+00:00,BUY,1.36613,1.36837,22.400000000000198,1,59.299999999999905,loss,-22.400000000000198,-24.400000000000198,2014-W05
EUR_USD,3.0,2014-01-30 07:00:00+00:00,SELL,1.3624,1.36019,22.100000000000453,17,52.60000000000042,win,22.100000000000453,20.100000000000453,2014-W05
EUR_USD,3.0,2014-01-31 11:00:00+00:00,BUY,1.35477,1.36761,128.3999999999996,1,31.09999999999946,win,128.3999999999996,126.39999999999961,2014-W05
EUR_USD,3.0,2014-02-03 16:00:00+00:00,BUY,1.35224,1.35724,49.999999999998934,9,46.30000000000134,win,49.999999999998934,47.999999999998934,2014-W06
EUR_USD,3.0,2014-02-04 08:00:00+00:00,SELL,1.35084,1.3476,32.40000000000131,2,29.399999999999427,loss,-32.40000000000131,-34.40000000000131,2014-W06
EUR_USD,3.0,2014-02-05 13:00:00+00:00,BUY,1.3513,1.35378,24.800000000000377,29,21.700000000000053,win,24.800000000000377,22.800000000000377,2014-W06
EUR_USD,3.0,2014-02-06 14:00:00+00:00,BUY,1.36037,1.36761,72.39999999999912,1,123.40000000000018,win,72.39999999999912,70.39999999999912,2014-W06
EUR_USD,3.0,2014-02-07 06:00:00+00:00,SELL,1.35844,1.35164,68.00000000000139,16,33.40000000000121,loss,-68.00000000000139,-70.00000000000139,2014-W06
EUR_USD,3.0,2014-02-07 13:00:00+00:00,BUY,1.35922,1.36179,25.699999999999612,5,40.49999999999887,win,25.699999999999612,23.699999999999612,2014-W06
EUR_USD,3.0,2014-02-07 14:00:00+00:00,SELL,1.35872,1.35511,36.09999999999891,1,55.699999999998525,loss,-36.09999999999891,-38.09999999999891,2014-W06
EUR_USD,3.0,2014-02-07 19:00:00+00:00,BUY,1.36267,1.36428,16.099999999998893,5,51.900000000000276,win,16.099999999998893,14.099999999998893,2014-W06
EUR_USD,3.0,2014-02-11 14:00:00+00:00,SELL,1.36475,1.35752,72.29999999999848,6,34.79999999999927,win,72.29999999999848,70.29999999999848,2014-W07
EUR_USD,3.0,2014-02-11 15:00:00+00:00,BUY,1.36763,1.36822,5.9000000000009045,1,48.200000000000465,loss,-5.9000000000009045,-7.9000000000009045,2014-W07
EUR_USD,3.0,2014-02-11 19:00:00+00:00,SELL,1.36365,1.36283,8.20000000000043,3,42.49999999999865,win,8.20000000000043,6.200000000000429,2014-W07
EUR_USD,3.0,2014-02-13 01:00:00+00:00,BUY,1.36046,1.36179,13.300000000000534,11,43.50000000000076,win,13.300000000000534,11.300000000000534,2014-W07
EUR_USD,3.0,2014-02-18 01:00:00+00:00,SELL,1.37008,1.36283,72.49999999999979,24,22.599999999999287,loss,-72.49999999999979,-74.49999999999979,2014-W08
EUR_USD,3.0,2014-02-19 10:00:00+00:00,SELL,1.37452,1.36935,51.699999999998965,9,27.000000000001467,win,51.699999999998965,49.699999999998965,2014-W08
EUR_USD,3.0,2014-02-20 03:00:00+00:00,BUY,1.37524,1.37722,19.800000000000928,8,29.000000000001247,loss,-19.800000000000928,-21.800000000000928,2014-W08
EUR_USD,3.0,2014-02-20 07:00:00+00:00,SELL,1.37138,1.36935,20.299999999999763,1,46.800000000000175,win,20.299999999999763,18.299999999999763,2014-W08
EUR_USD,3.0,2014-02-20 15:00:00+00:00,BUY,1.37109,1.37232,12.300000000000644,7,26.300000000001322,loss,-12.300000000000644,-14.300000000000644,2014-W08
EUR_USD,3.0,2014-02-24 11:00:00+00:00,SELL,1.3735,1.37232,11.799999999999589,2,35.10000000000124,win,11.799999999999589,9.799999999999589,2014-W09
EUR_USD,3.0,2014-02-25 03:00:00+00:00,BUY,1.37331,1.37614,28.29999999999888,12,25.800000000000267,win,28.29999999999888,26.29999999999888,2014-W09
EUR_USD,3.0,2014-02-25 15:00:00+00:00,SELL,1.37326,1.37232,9.399999999999409,1,33.49999999999964,loss,-9.399999999999409,-11.399999999999409,2014-W09
EUR_USD,3.0,2014-02-25 16:00:00+00:00,BUY,1.37474,1.37614,13.999999999998458,1,33.10000000000146,loss,-13.999999999998458,-15.999999999998458,2014-W09
EUR_USD,3.0,2014-02-26 12:00:00+00:00,SELL,1.37284,1.37232,5.20000000000076,20,31.30000000000077,win,5.20000000000076,3.2000000000007596,2014-W09
EUR_USD,3.0,2014-02-27 01:00:00+00:00,BUY,1.36917,1.37595,67.80000000000008,9,31.49999999999986,win,67.80000000000008,65.80000000000008,2014-W09
EUR_USD,3.0,2014-02-27 14:00:00+00:00,BUY,1.36834,1.36946,11.200000000000099,5,41.49999999999876,loss,-11.200000000000099,-13.200000000000099,2014-W09
EUR_USD,3.0,2014-02-28 05:00:00+00:00,SELL,1.36975,1.36845,13.000000000000789,12,27.900000000000702,loss,-13.000000000000789,-15.000000000000789,2014-W09
EUR_USD,3.0,2014-03-02 22:00:00+00:00,SELL,1.37733,1.37143,59.00000000000016,2,50.599999999998424,win,59.00000000000016,57.00000000000016,2014-W09
EUR_USD,3.0,2014-03-04 06:00:00+00:00,BUY,1.37515,1.37595,7.999999999999119,5,32.2,win,7.999999999999119,5.999999999999119,2014-W10
EUR_USD,3.0,2014-03-04 16:00:00+00:00,SELL,1.37294,1.37197,9.700000000001374,3,51.1000000000017,loss,-9.700000000001374,-11.700000000001374,2014-W10
EUR_USD,3.0,2014-03-06 07:00:00+00:00,BUY,1.37328,1.37595,26.699999999999502,21,26.600000000001067,win,26.699999999999502,24.699999999999502,2014-W10
EUR_USD,3.0,2014-03-07 13:00:00+00:00,SELL,1.38521,1.37197,132.4000000000014,2,62.100000000000485,win,132.4000000000014,130.4000000000014,2014-W10
EUR_USD,3.0,2014-03-10 01:00:00+00:00,BUY,1.38806,1.39141,33.49999999999964,12,29.400000000001647,loss,-33.49999999999964,-35.49999999999964,2014-W11
EUR_USD,3.0,2014-03-11 01:00:00+00:00,SELL,1.3869,1.38509,18.100000000000893,18,27.399999999999647,win,18.100000000000893,16.100000000000893,2014-W11
EUR_USD,3.0,2014-03-11 14:00:00+00:00,BUY,1.38622,1.38966,34.399999999998876,3,30.000000000001137,win,34.399999999998876,32.399999999998876,2014-W11
EUR_USD,3.0,2014-03-12 07:00:00+00:00,SELL,1.38485,1.38326,15.899999999999803,13,27.500000000000302,loss,-15.899999999999803,-17.899999999999803,2014-W11
EUR_USD,3.0,2014-03-12 12:00:00+00:00,BUY,1.38909,1.38966,5.699999999999594,5,48.6999999999993,loss_tie,-5.699999999999594,-7.699999999999594,2014-W11
EUR_USD,3.0,2014-03-13 16:00:00+00:00,SELL,1.38938,1.38509,42.90000000000127,7,71.90000000000029,win,42.90000000000127,40.90000000000127,2014-W11
EUR_USD,3.0,2014-03-14 09:00:00+00:00,BUY,1.38855,1.38966,11.099999999999444,15,41.10000000000058,loss,-11.099999999999444,-13.099999999999444,2014-W11
EUR_USD,3.0,2014-03-17 05:00:00+00:00,SELL,1.39,1.38509,49.099999999999696,15,36.50000000000153,win,49.099999999999696,47.099999999999696,2014-W12
EUR_USD,3.0,2014-03-17 13:00:00+00:00,BUY,1.39364,1.39365,0.10000000000065512,6,57.300000000000125,loss_tie,-0.10000000000065512,-2.100000000000655,2014-W12
EUR_USD,3.0,2014-03-18 07:00:00+00:00,SELL,1.39152,1.38779,37.30000000000011,17,31.30000000000077,win,37.30000000000011,35.30000000000011,2014-W12
EUR_USD,3.0,2014-03-18 11:00:00+00:00,BUY,1.39307,1.39365,5.800000000000249,1,41.400000000000325,loss,-5.800000000000249,-7.800000000000249,2014-W12
EUR_USD,3.0,2014-03-18 12:00:00+00:00,SELL,1.39025,1.38887,13.799999999999368,1,39.5000000000012,win,13.799999999999368,11.799999999999368,2014-W12
EUR_USD,3.0,2014-03-18 17:00:00+00:00,BUY,1.39205,1.39365,16.00000000000046,3,42.10000000000047,loss,-16.00000000000046,-18.00000000000046,2014-W12
EUR_USD,3.0,2014-03-21 02:00:00+00:00,BUY,1.37823,1.39336,151.29999999999865,12,34.30000000000044,timeout,30.49999999999997,28.49999999999997,2014-W12
EUR_USD,3.0,2014-03-24 09:00:00+00:00,SELL,1.37735,1.3748,25.500000000000522,1,52.00000000000093,loss,-25.500000000000522,-27.500000000000522,2014-W13
EUR_USD,3.0,2014-03-24 17:00:00+00:00,BUY,1.38629,1.39336,70.6999999999991,6,103.99999999999964,loss,-70.6999999999991,-72.6999999999991,2014-W13
EUR_USD,3.0,2014-03-25 04:00:00+00:00,SELL,1.38279,1.37592,68.69999999999932,10,36.40000000000087,win,68.69999999999932,66.69999999999932,2014-W13
EUR_USD,3.0,2014-03-25 17:00:00+00:00,BUY,1.38253,1.38643,39.00000000000014,1,77.80000000000119,loss,-39.00000000000014,-41.00000000000014,2014-W13
EUR_USD,3.0,2014-03-26 05:00:00+00:00,SELL,1.38053,1.37592,46.10000000000003,12,38.49999999999909,win,46.10000000000003,44.10000000000003,2014-W13
EUR_USD,3.0,2014-03-28 13:00:00+00:00,BUY,1.37543,1.38256,71.30000000000081,4,50.899999999998165,loss,-71.30000000000081,-73.30000000000081,2014-W13
EUR_USD,3.0,2014-04-01 02:00:00+00:00,SELL,1.37704,1.37592,11.200000000000099,13,38.000000000000256,loss,-11.200000000000099,-13.200000000000099,2014-W14
EUR_USD,3.0,2014-04-01 12:00:00+00:00,BUY,1.37986,1.38079,9.299999999998754,10,29.999999999998916,loss,-9.299999999998754,-11.299999999998754,2014-W14
EUR_USD,3.0,2014-04-02 08:00:00+00:00,SELL,1.3792,1.37681,23.899999999998922,2,27.400000000001867,win,23.899999999998922,21.899999999998922,2014-W14
