snapshot_ts_utc,symbol,long_pct,short_pct,total_positions,long_positions,short_positions,long_volume_lots,short_volume_lots
2011-04-12T10:54:48Z,EURGBP,33.0,66.0,460,127,333,88.98,178.54
2011-04-12T10:54:48Z,EURJPY,18.0,81.0,513,120,393,75.01,335.44
2011-04-12T10:54:48Z,EURUSD,31.0,68.0,2711,1047,1664,602.33,1328.75
2011-04-12T10:54:48Z,GBPJPY,39.0,60.0,383,89,294,35.14,54.87
2011-04-12T10:54:48Z,GBPUSD,58.0,41.0,2045,1101,944,923.18,650.35
2011-04-12T10:54:48Z,USDCAD,95.0,4.0,546,424,122,1152.0,48.83
2011-04-12T10:54:48Z,USDCHF,77.0,22.0,571,401,170,260.57,77.26
2011-04-12T10:54:48Z,USDJPY,17.0,82.0,840,330,510,92.08,444.44
2011-04-20T15:22:40Z,AUDUSD,10.0,89.0,903,232,671,113.7,922.26
2011-04-20T15:22:40Z,EURCHF,79.0,20.0,714,454,260,395.48,104.09
2011-04-20T15:22:40Z,EURGBP,26.0,73.0,379,172,207,39.45,107.19
2011-04-20T15:22:40Z,EURJPY,47.0,52.0,434,186,248,77.23,85.1
2011-04-20T15:22:40Z,EURUSD,8.0,91.0,3417,1440,1977,450.46,5003.46
2011-04-20T15:22:40Z,GBPJPY,48.0,51.0,360,163,197,58.81,62.23
2011-04-20T15:22:40Z,GBPUSD,15.0,84.0,1860,568,1292,189.63,1012.94
2011-04-20T15:22:40Z,USDCAD,97.0,2.0,601,479,122,1730.06,51.03
2011-04-20T15:22:40Z,USDCHF,44.0,55.0,724,494,230,149.73,187.52
2011-04-20T15:22:40Z,USDJPY,56.0,43.0,827,569,258,152.25,116.36
2011-04-23T13:24:14Z,AUDUSD,7.0,92.0,826,205,621,86.03,1018.93
2011-04-23T13:24:14Z,EURCHF,79.0,20.0,555,399,156,369.23,93.81
2011-04-23T13:24:14Z,EURGBP,26.0,73.0,360,149,211,37.29,106.06
2011-04-23T13:24:14Z,EURJPY,49.0,50.0,429,179,250,85.19,88.37
2011-04-23T13:24:14Z,EURUSD,9.0,90.0,2795,882,1913,466.58,4311.89
2011-04-23T13:24:14Z,GBPJPY,45.0,54.0,396,172,224,37.06,45.12
2011-04-23T13:24:14Z,GBPUSD,7.0,92.0,2257,545,1712,200.52,2360.23
2011-04-23T13:24:14Z,USDCAD,95.0,4.0,562,416,146,1405.34,59.45
2011-04-23T13:24:14Z,USDCHF,40.0,59.0,630,434,196,118.8,175.74
2011-04-23T13:24:14Z,USDJPY,56.0,43.0,802,581,221,162.78,122.88
2011-04-29T19:58:32Z,AUDUSD,32.0,67.0,716,218,498,103.37,212.42
2011-04-29T19:58:32Z,EURCHF,67.0,32.0,438,352,86,66.82,32.19
2011-04-29T19:58:32Z,EURGBP,36.0,63.0,292,99,193,8.31,14.77
2011-04-29T19:58:32Z,EURJPY,51.0,48.0,360,147,213,96.79,90.18
2011-04-29T19:58:32Z,EURUSD,29.0,70.0,2832,849,1983,315.88,763.75
2011-04-29T19:58:32Z,GBPJPY,51.0,48.0,321,158,163,52.29,49.56
2011-04-29T19:58:32Z,GBPUSD,28.0,71.0,1585,378,1207,265.89,680.79
2011-04-29T19:58:32Z,USDCAD,66.0,33.0,322,218,104,44.38,22.82
2011-04-29T19:58:32Z,USDCHF,31.0,69.0,585,420,165,135.54,301.72
2011-04-29T19:58:32Z,USDJPY,78.0,21.0,639,467,172,254.6,68.96
2011-05-09T10:39:19Z,AUDUSD,47.0,52.0,611,226,385,96.03,106.14
2011-05-09T10:39:19Z,EURCHF,63.0,36.0,538,392,146,42.31,24.29
2011-05-09T10:39:19Z,EURGBP,49.0,50.0,415,228,187,42.17,43.24
2011-05-09T10:39:19Z,EURJPY,48.0,51.0,402,247,155,90.53,97.2
2011-05-09T10:39:19Z,EURUSD,60.0,39.0,2473,1287,1186,1024.31,679.16
2011-05-09T10:39:19Z,GBPJPY,45.0,54.0,364,221,143,59.65,71.62
2011-05-09T10:39:19Z,GBPUSD,51.0,48.0,1665,953,712,454.7,426.58
2011-05-09T10:39:19Z,USDCAD,46.0,53.0,313,164,149,25.63,29.46
2011-05-09T10:39:19Z,USDCHF,51.0,48.0,794,492,302,141.92,131.99
2011-05-09T10:39:19Z,USDJPY,76.0,23.0,775,523,252,211.0,66.26
2011-05-18T14:24:50Z,AUDUSD,48.0,51.0,809,345,464,118.03,127.22
