cell_id,pair,tf,intrabar_tf,hypothesis,vol_mult,body_pct,horizon_bars,cohort,n_trades,win_rate,ev_pip,ev_pct,profit_factor,wilson_lower_95,sharpe_annual,kelly_fraction,max_dd_pct,mae_mean_pct,mae_p5_pct,mfe_mean_pct,year_flip_count,p_value,bonferroni_pass,bh_fdr_pass,g7_delta_incremental,verdict,period_start,period_end,bt_data_source,generated_at
USD_JPY_H-A_1.5_0.40_1,USD_JPY,H1,M5,H-A,1.5,0.4,1,primary_12y,7381,0.48665492480693673,0.39841525538545325,0.003260919017148008,1.0510134867364296,0.47526218183083413,1.2814178390823434,0.020794459571565338,-15.31963819991494,-0.13172908308559647,-0.3854201989959227,0.14132519379770622,3,0.022519306226079516,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-A_1.5_0.40_3,USD_JPY,H1,M5,H-A,1.5,0.4,3,primary_12y,7381,0.4977645305514158,0.6605068418913451,0.005332700636953903,1.0653487679463614,0.48636206206073135,1.6720033134822654,0.028730657165070395,-17.300614655528268,-0.17211440134675746,-0.509253321463321,0.18207474162553614,4,0.7095449536449848,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-A_1.5_0.40_6,USD_JPY,H1,M5,H-A,1.5,0.4,6,primary_12y,7381,0.4976290475545319,0.8021272185340894,0.00635169356124169,1.063283370743789,0.48622666376632834,1.5887615954677703,0.02703879902614248,-23.25834329976262,-0.21725994769555368,-0.6469275811338826,0.23057444737528,5,0.6922919839044287,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-A_1.5_0.40_12,USD_JPY,H1,M5,H-A,1.5,0.4,12,primary_12y,7379,0.5038623119663911,1.9134027646022487,0.01567771723576518,1.1148998645859547,0.4924553526400723,2.9209693900818086,0.05070448166065,-17.541369046208125,-0.2844331542276309,-0.8341377443421882,0.31010590504231555,2,0.514460388137875,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-B_1.5_0.40_1,USD_JPY,H1,M5,H-B,1.5,0.4,1,primary_12y,7381,0.5100934832678499,-0.39841525538545325,-0.0028696192430782376,0.951462576474794,0.4986868101834111,-1.1287682124064604,-0.026522954874471094,-23.796176554987188,-0.14084925827582026,-0.416108329219278,0.1321185237615444,3,0.08493984250910205,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-B_1.5_0.40_3,USD_JPY,H1,M5,H-B,1.5,0.4,3,primary_12y,7381,0.5006096734859775,-0.6605068418913451,-0.004717582651341707,0.9386597423186287,0.489205619559707,-1.4797542044429532,-0.03028180361839905,-36.900446981756204,-0.18133538062129576,-0.538244105550012,0.172765097560948,4,0.9258108595722738,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-B_1.5_0.40_6,USD_JPY,H1,M5,H-B,1.5,0.4,6,primary_12y,7381,0.5004741904890936,-0.8021272185340894,-0.0053851026468870935,0.9404830617265075,0.4890702036911594,-1.3473271470947346,-0.027971019086153293,-42.167824960617764,-0.2293980560029369,-0.6831601763958361,0.21828216180928386,5,0.9443229887228686,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-B_1.5_0.40_12,USD_JPY,H1,M5,H-B,1.5,0.4,12,primary_12y,7379,0.4945114514161811,-1.9134027646022487,-0.013934761629647237,0.8969415386657835,0.4831097042624079,-2.5979599288141326,-0.05224659387042513,-107.29007615064599,-0.3079675301099199,-0.9226257238577051,0.2861837260788927,2,0.3516973182659798,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-C_1.5_0.40_1,USD_JPY,H1,M5,H-C,1.5,0.4,1,primary_12y,3596,0.49972191323692994,0.8962182981090029,0.006955026261446307,1.1172371005762167,0.4833888196486959,2.6422255319223202,0.04689027569664167,-5.873194745222267,-0.1325080870393648,-0.3855081197871202,0.14547494724897056,1,0.9866954549909939,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
USD_JPY_H-C_1.5_0.40_3,USD_JPY,H1,M5,H-C,1.5,0.4,3,primary_12y,3596,0.506952169076752,1.2000278086763116,0.009416852830778423,1.1207201864248892,0.49061293468622474,2.8953729308632488,0.0511868535170063,-9.989771135453537,-0.17270464653573184,-0.5009003458400219,0.1865101239498128,3,0.4138630266342725,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
