n,wr,wilson_lo_pct,ev_pips,pf,kelly,avg_win,avg_loss,p_value,bev_wr,strategy,session,fold
369,0.607,55.64,1.732,1.988,30.1691,5.742,-4.462,0.00026,0.5157,ma_trend_perfect,ALL,ALL
91,0.7363,63.75,2.933,3.842,54.4634,5.386,-3.913,1e-05,0.5069,ma_trend_perfect,Tokyo,ALL
99,0.596,49.75,1.666,1.972,29.3754,5.672,-4.243,0.05033,0.5086,ma_trend_perfect,London,ALL
124,0.6129,52.5,2.052,2.19,33.3093,6.162,-4.454,0.00545,0.4949,ma_trend_perfect,NY,ALL
123,0.6423,55.44,1.782,2.178,34.7415,5.128,-4.227,0.01194,0.5373,ma_trend_perfect,ALL,f1
123,0.6179,52.97,2.068,2.2,33.7045,6.136,-4.51,0.00521,0.4988,ma_trend_perfect,ALL,f2
123,0.561,47.27,1.347,1.665,22.4134,6.011,-4.612,0.14619,0.5095,ma_trend_perfect,ALL,f3
