n,wr,wilson_lo_pct,ev_pips,pf,kelly,avg_win,avg_loss,p_value,bev_wr,strategy,session,fold
1,1.0,20.65,4.881,99.0,0.0,4.881,0.0,0.16391,0.1639,ma_mr_hybrid,ALL,ALL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ma_mr_hybrid,Tokyo,ALL
1,1.0,20.65,4.881,99.0,0.0,4.881,0.0,0.16391,0.1639,ma_mr_hybrid,London,ALL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ma_mr_hybrid,NY,ALL
1,1.0,20.65,4.881,99.0,0.0,4.881,0.0,0.16391,0.1639,ma_mr_hybrid,ALL,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ma_mr_hybrid,ALL,f2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ma_mr_hybrid,ALL,f3
397,0.4912,44.23,-0.137,0.939,0.0,4.286,-4.408,0.99999,0.599,ma_regime_switch,ALL,ALL
127,0.4724,38.77,-0.357,0.831,0.0,3.727,-4.014,0.99977,0.6219,ma_regime_switch,Tokyo,ALL
99,0.5354,43.76,0.348,1.174,7.9506,4.381,-4.298,0.87538,0.5874,ma_regime_switch,London,ALL
135,0.5037,42.04,-0.06,0.974,0.0,4.55,-4.74,0.9882,0.5963,ma_regime_switch,NY,ALL
132,0.4773,39.39,-0.214,0.916,0.0,4.909,-4.892,0.99344,0.5807,ma_regime_switch,ALL,f1
132,0.4848,40.12,-0.315,0.856,0.0,3.871,-4.254,0.9995,0.622,ma_regime_switch,ALL,f2
133,0.5113,42.72,0.114,1.058,2.791,4.1,-4.055,0.9798,0.5953,ma_regime_switch,ALL,f3
365,0.3562,30.88,-0.091,0.97,0.0,7.801,-4.656,0.99938,0.438,bb_rsi_ema_aligned,ALL,ALL
86,0.3372,24.62,-0.406,0.863,0.0,7.474,-4.415,0.97852,0.4386,bb_rsi_ema_aligned,Tokyo,ALL
82,0.3049,21.58,-1.01,0.71,0.0,7.939,-4.935,0.9967,0.4455,bb_rsi_ema_aligned,London,ALL
75,0.2933,20.24,0.227,1.075,0.0,9.165,-4.36,0.9567,0.3815,bb_rsi_ema_aligned,NY,ALL
121,0.3636,28.33,0.51,1.166,1.3838,8.838,-4.858,0.88501,0.4131,bb_rsi_ema_aligned,ALL,f1
121,0.3719,29.1,-0.625,0.793,0.0,6.277,-4.711,0.99846,0.5016,bb_rsi_ema_aligned,ALL,f2
123,0.3333,25.62,-0.158,0.946,0.0,8.361,-4.417,0.96397,0.4083,bb_rsi_ema_aligned,ALL,f3
