n,wr,wilson_lo_pct,ev_pips,pf,kelly,avg_win,avg_loss,p_value,bev_wr,strategy,session,fold
691,0.3517,31.7,-0.197,0.932,0.0,7.348,-4.432,1.0,0.4442,bb_rsi_ema_aligned,ALL,ALL
179,0.3575,29.1,-0.238,0.914,0.0,7.063,-4.302,0.99467,0.4489,bb_rsi_ema_aligned,Tokyo,ALL
151,0.2848,21.88,-1.023,0.7,0.0,8.308,-4.738,0.99986,0.4245,bb_rsi_ema_aligned,London,ALL
140,0.3214,24.97,-0.125,0.956,0.0,7.317,-4.136,0.99693,0.431,bb_rsi_ema_aligned,NY,ALL
230,0.3304,27.29,-0.559,0.806,0.0,6.97,-4.275,0.99993,0.4513,bb_rsi_ema_aligned,ALL,f1
230,0.3739,31.39,0.341,1.122,0.819,7.648,-4.468,0.97371,0.4348,bb_rsi_ema_aligned,ALL,f2
231,0.3506,29.2,-0.372,0.875,0.0,7.384,-4.561,0.99901,0.4488,bb_rsi_ema_aligned,ALL,f3
