strategy,ts,hour_utc,session,signal,outcome,pnl_pips,exit_bars
ma_trend_perfect,2025-10-17 06:40:00+00:00,6,Tokyo,SELL,WIN,9.835401484580597,12
ma_trend_perfect,2025-10-17 08:00:00+00:00,8,London,SELL,WIN,7.31756518960749,4
ma_trend_perfect,2025-10-17 09:16:00+00:00,9,London,SELL,WIN,5.157124997814845,4
ma_trend_perfect,2025-10-17 10:15:00+00:00,10,London,SELL,LOSS,-4.210598832795131,3
ma_trend_perfect,2025-10-21 05:05:00+00:00,5,Tokyo,BUY,WIN,16.499897797207108,10
ma_trend_perfect,2025-10-21 11:06:00+00:00,11,London,BUY,WIN,6.0189130616559625,5
ma_trend_perfect,2025-10-21 15:05:00+00:00,15,NY,BUY,LOSS,-4.965166001399711,1
ma_trend_perfect,2025-10-23 03:37:00+00:00,3,Tokyo,BUY,WIN,2.8851256681359247,3
ma_trend_perfect,2025-10-23 04:35:00+00:00,4,Tokyo,BUY,LOSS,-2.5723555584808535,2
ma_trend_perfect,2025-10-23 06:20:00+00:00,6,Tokyo,BUY,WIN,3.873203383461555,3
ma_trend_perfect,2025-10-23 07:30:00+00:00,7,London,BUY,WIN,5.947869859151479,6
ma_trend_perfect,2025-10-23 08:11:00+00:00,8,London,BUY,WIN,4.255282732965338,8
ma_trend_perfect,2025-10-23 09:30:00+00:00,9,London,BUY,WIN,3.9302567138530096,7
ma_trend_perfect,2025-10-23 10:08:00+00:00,10,London,BUY,LOSS,-3.2192774214839117,4
ma_trend_perfect,2025-10-23 12:15:00+00:00,12,London,BUY,WIN,3.4782124771349574,3
ma_trend_perfect,2025-10-24 02:45:00+00:00,2,Tokyo,BUY,WIN,5.814579163340295,31
ma_trend_perfect,2025-10-24 06:37:00+00:00,6,Tokyo,BUY,LOSS,-3.686987455784151,22
ma_trend_perfect,2025-10-26 23:40:00+00:00,23,Off,BUY,WIN,4.074438661209979,9
ma_trend_perfect,2025-10-27 15:01:00+00:00,15,NY,BUY,WIN,5.201248857916153,6
ma_trend_perfect,2025-10-27 16:05:00+00:00,16,NY,BUY,LOSS,-3.8560391751237146,30
ma_trend_perfect,2025-10-29 22:20:00+00:00,22,Off,BUY,WIN,2.607615461543401,12
ma_trend_perfect,2025-10-30 09:35:00+00:00,9,London,BUY,WIN,6.7745839151466045,20
ma_trend_perfect,2025-10-30 13:45:00+00:00,13,NY,BUY,LOSS,-6.477480225372733,15
ma_trend_perfect,2025-10-30 14:31:00+00:00,14,NY,BUY,LOSS,-4.98689949387101,7
ma_trend_perfect,2025-10-30 15:35:00+00:00,15,NY,BUY,LOSS,-3.594904251655339,6
ma_trend_perfect,2025-10-30 16:15:00+00:00,16,NY,BUY,LOSS,-3.9633807965278036,4
ma_trend_perfect,2025-10-30 17:34:00+00:00,17,NY,BUY,WIN,3.1169481110008066,3
ma_trend_perfect,2025-10-30 18:08:00+00:00,18,NY,BUY,LOSS,-2.915579279978874,6
ma_trend_perfect,2025-10-30 23:15:00+00:00,23,Off,BUY,WIN,3.4627523036628647,6
ma_trend_perfect,2025-10-31 09:20:00+00:00,9,London,BUY,LOSS,-3.4310187643900916,8
ma_trend_perfect,2025-11-04 02:05:00+00:00,2,Tokyo,BUY,LOSS,-3.231552797335712,3
ma_trend_perfect,2025-11-05 14:56:00+00:00,14,NY,BUY,WIN,4.687935682845091,4
ma_trend_perfect,2025-11-05 18:39:00+00:00,18,NY,BUY,LOSS,-2.739048344598859,7
ma_trend_perfect,2025-11-05 19:32:00+00:00,19,NY,BUY,LOSS,-2.2029938461106893,8
ma_trend_perfect,2025-11-05 20:26:00+00:00,20,NY,BUY,LOSS,-2.6933484090410955,6
ma_trend_perfect,2025-11-05 21:46:00+00:00,21,Off,BUY,WIN,1.4640452757485718,3
ma_trend_perfect,2025-11-05 22:25:00+00:00,22,Off,BUY,LOSS,-3.15702726558884,5
ma_trend_perfect,2025-11-06 18:05:00+00:00,18,NY,SELL,WIN,5.038297400822512,1
ma_trend_perfect,2025-11-06 20:45:00+00:00,20,NY,SELL,WIN,1.932092054341706,1
ma_trend_perfect,2025-11-06 21:55:00+00:00,21,Off,SELL,LOSS,-2.7352781894582447,1
ma_trend_perfect,2025-11-06 22:27:00+00:00,22,Off,SELL,LOSS,-5.7481478883791395,3
ma_trend_perfect,2025-11-07 00:11:00+00:00,0,Tokyo,SELL,WIN,7.26812894448683,2
ma_trend_perfect,2025-11-07 08:02:00+00:00,8,London,BUY,WIN,5.455151540352699,2
