date,currency_pair,direction,amount_yen_billions,source_url
1993-05-06,USD/JPY,sell_JPY_buy_USD,19.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-05-07,USD/JPY,sell_JPY_buy_USD,63.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-05-26,USD/JPY,sell_JPY_buy_USD,125.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-05-27,USD/JPY,sell_JPY_buy_USD,113.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-05-28,USD/JPY,sell_JPY_buy_USD,69.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-05-31,USD/JPY,sell_JPY_buy_USD,76.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-01,USD/JPY,sell_JPY_buy_USD,95.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-02,USD/JPY,sell_JPY_buy_USD,27.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-03,USD/JPY,sell_JPY_buy_USD,64.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-04,USD/JPY,sell_JPY_buy_USD,10.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-08,USD/JPY,sell_JPY_buy_USD,77.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-10,USD/JPY,sell_JPY_buy_USD,67.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-11,USD/JPY,sell_JPY_buy_USD,47.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-14,USD/JPY,sell_JPY_buy_USD,63.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-15,USD/JPY,sell_JPY_buy_USD,73.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-06-28,USD/JPY,sell_JPY_buy_USD,10.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-07-30,USD/JPY,sell_JPY_buy_USD,36.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-02,USD/JPY,sell_JPY_buy_USD,15.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-03,USD/JPY,sell_JPY_buy_USD,57.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-04,USD/JPY,sell_JPY_buy_USD,15.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-05,USD/JPY,sell_JPY_buy_USD,10.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-11,USD/JPY,sell_JPY_buy_USD,54.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
