baseline_N,baseline_PF,baseline_PnL,entry_type,gate,gate_N,gate_PF,gate_PnL,reason,verdict
0,0.0,0,gold_vol_break,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,gold_vol_break,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,gold_vol_break,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,gotobi_fix,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,gotobi_fix,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,gotobi_fix,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,hmm_regime_filter,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,hmm_regime_filter,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,hmm_regime_filter,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
65,1.334781,11.405731,htf_false_breakout,TRENDING,26,0.886768,-1.519814,pnl_sign_flip,CATASTROPHIC
65,1.334781,11.405731,htf_false_breakout,RANGING,1,inf,0.7,gate_N_lt_30,CATASTROPHIC
65,1.334781,11.405731,htf_false_breakout,CHOP,38,1.592118,12.225545,not_catastrophic,NOT_CATASTROPHIC
15,1.096891,1.469879,inducement_ob,TRENDING,1,inf,1.4731,gate_N_lt_30,CATASTROPHIC
15,1.096891,1.469879,inducement_ob,RANGING,5,0.438791,-5.037037,pnl_sign_flip,CATASTROPHIC
15,1.096891,1.469879,inducement_ob,CHOP,9,1.812538,5.033816,gate_N_lt_30,CATASTROPHIC
185,0.794388,-32.165243,intraday_seasonality,TRENDING,42,0.776714,-7.896339,baseline_negative_no_edge,CATASTROPHIC
185,0.794388,-32.165243,intraday_seasonality,RANGING,36,0.49733,-19.457827,baseline_negative_no_edge,CATASTROPHIC
185,0.794388,-32.165243,intraday_seasonality,CHOP,107,0.941587,-4.811077,baseline_negative_no_edge,CATASTROPHIC
2,1.689718,0.6104,jpy_basket_trend,TRENDING,2,1.689718,0.6104,gate_N_lt_30,CATASTROPHIC
2,1.689718,0.6104,jpy_basket_trend,RANGING,0,0.0,0,gate_N_lt_30,CATASTROPHIC
2,1.689718,0.6104,jpy_basket_trend,CHOP,0,0.0,0,gate_N_lt_30,CATASTROPHIC
28,1.242092,3.623067,lin_reg_channel,TRENDING,13,1.363801,2.386749,gate_N_lt_30,CATASTROPHIC
28,1.242092,3.623067,lin_reg_channel,RANGING,2,0.0,-3.219629,pnl_sign_flip,CATASTROPHIC
28,1.242092,3.623067,lin_reg_channel,CHOP,13,1.859321,4.455947,gate_N_lt_30,CATASTROPHIC
6,0.370945,-7.8608,liquidity_sweep,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
6,0.370945,-7.8608,liquidity_sweep,RANGING,3,0.0,-8.4239,baseline_negative_no_edge,CATASTROPHIC
6,0.370945,-7.8608,liquidity_sweep,CHOP,3,1.138276,0.5631,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_breakout,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_breakout,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_breakout,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_close_reversal,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_close_reversal,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_close_reversal,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_close_reversal_v2,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_close_reversal_v2,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_close_reversal_v2,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
