EV_pip,Kelly,N,PF,PnL,WR,Wilson_lo,condition,entry_type,wins
0.625972,0.207569,28,1.519477,17.527208,0.607143,0.424087,gated_TRENDING,gbp_deep_pullback,17
0.589429,0.190714,17,1.479757,10.0203,0.588235,0.360051,gated_RANGING,gbp_deep_pullback,10
0.271536,0.089357,52,1.16388,14.119875,0.634615,0.498714,gated_CHOP,gbp_deep_pullback,33
0.0,0.0,0,0.0,0,0.0,0.0,baseline,gold_trend_momentum,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,gold_trend_momentum,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,gold_trend_momentum,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,gold_trend_momentum,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,gold_vol_break,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,gold_vol_break,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,gold_vol_break,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,gold_vol_break,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,gotobi_fix,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,gotobi_fix,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,gotobi_fix,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,gotobi_fix,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,hmm_regime_filter,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,hmm_regime_filter,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,hmm_regime_filter,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,hmm_regime_filter,0
0.175473,0.154347,65,1.334781,11.405731,0.615385,0.49384,baseline,htf_false_breakout,40
-0.058454,-0.068757,26,0.886768,-1.519814,0.538462,0.354576,gated_TRENDING,htf_false_breakout,14
0.7,0.0,1,inf,0.7,1.0,0.206543,gated_RANGING,htf_false_breakout,1
0.321725,0.244675,38,1.592118,12.225545,0.657895,0.498918,gated_CHOP,htf_false_breakout,25
0.097992,0.058888,15,1.096891,1.469879,0.666667,0.417131,baseline,inducement_ob,10
1.4731,0.0,1,inf,1.4731,1.0,0.206543,gated_TRENDING,inducement_ob,1
-1.007407,-0.511595,5,0.438791,-5.037037,0.4,0.117618,gated_RANGING,inducement_ob,2
0.559313,0.348668,9,1.812538,5.033816,0.777778,0.452583,gated_CHOP,inducement_ob,7
-0.173866,-0.146904,185,0.794388,-32.165243,0.567568,0.495519,baseline,intraday_seasonality,105
-0.188008,-0.164272,42,0.776714,-7.896339,0.571429,0.42206,gated_TRENDING,intraday_seasonality,24
-0.540495,-0.505369,36,0.49733,-19.457827,0.5,0.344741,gated_RANGING,intraday_seasonality,18
-0.044963,-0.036526,107,0.941587,-4.811077,0.588785,0.494052,gated_CHOP,intraday_seasonality,63
0.3052,0.204093,2,1.689718,0.6104,0.5,0.094529,baseline,jpy_basket_trend,1
0.3052,0.204093,2,1.689718,0.6104,0.5,0.094529,gated_TRENDING,jpy_basket_trend,1
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,jpy_basket_trend,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,jpy_basket_trend,0
0.129395,0.132258,28,1.242092,3.623067,0.678571,0.493385,baseline,lin_reg_channel,19
0.183596,0.184677,13,1.363801,2.386749,0.692308,0.423689,gated_TRENDING,lin_reg_channel,9
-1.609815,0.0,2,0.0,-3.219629,0.0,0.0,gated_RANGING,lin_reg_channel,0
0.342765,0.355515,13,1.859321,4.455947,0.769231,0.497431,gated_CHOP,lin_reg_channel,10
-1.310133,-0.565273,6,0.370945,-7.8608,0.333333,0.096769,baseline,liquidity_sweep,2
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,liquidity_sweep,0
-2.807967,0.0,3,0.0,-8.4239,0.0,0.0,gated_RANGING,liquidity_sweep,0
0.1877,0.080985,3,1.138276,0.5631,0.666667,0.207655,gated_CHOP,liquidity_sweep,2
0.0,0.0,0,0.0,0,0.0,0.0,baseline,london_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,london_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,london_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,london_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,london_close_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,london_close_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,london_close_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,london_close_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,london_close_reversal_v2,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,london_close_reversal_v2,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,london_close_reversal_v2,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,london_close_reversal_v2,0
-0.124253,-0.125462,159,0.800413,-19.756151,0.503145,0.426275,baseline,london_fix_reversal,80
-0.486424,-0.472216,25,0.40393,-12.16059,0.32,0.17205,gated_TRENDING,london_fix_reversal,8
0.084436,0.085058,50,1.171855,4.221822,0.58,0.442332,gated_RANGING,london_fix_reversal,29
-0.140683,-0.143349,84,0.781231,-11.817383,0.511905,0.40685,gated_CHOP,london_fix_reversal,43
-0.693464,-0.589818,15,0.474854,-10.401958,0.533333,0.301166,baseline,london_ny_swing,8
-0.60125,-0.445304,2,0.52893,-1.2025,0.5,0.094529,gated_TRENDING,london_ny_swing,1
1.2045,0.0,4,inf,4.818,1.0,0.5101,gated_RANGING,london_ny_swing,4
-1.557495,-1.443194,9,0.187632,-14.017458,0.333333,0.120582,gated_CHOP,london_ny_swing,3
0.0,0.0,0,0.0,0,0.0,0.0,baseline,london_session_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,london_session_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,london_session_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,london_session_breakout,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,ma_regime_switch,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,ma_regime_switch,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,ma_regime_switch,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,ma_regime_switch,0
-0.09775,-0.101026,8,0.831911,-0.782,0.5,0.215213,baseline,mqe_gbpusd_fix,4
-0.3263,0.0,1,0.0,-0.3263,0.0,0.0,gated_TRENDING,mqe_gbpusd_fix,0
0.4197,0.294754,3,1.792535,1.2591,0.666667,0.207655,gated_RANGING,mqe_gbpusd_fix,2
-0.4287,-0.838533,4,0.373543,-1.7148,0.5,0.150036,gated_CHOP,mqe_gbpusd_fix,2
0.0,0.0,0,0.0,0,0.0,0.0,baseline,mtf_regime_range_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,mtf_regime_range_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,mtf_regime_range_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,mtf_regime_range_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,mtf_regime_trend_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,mtf_regime_trend_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,mtf_regime_trend_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,mtf_regime_trend_cascade_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,mtf_reversal_confluence,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,mtf_reversal_confluence,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,mtf_reversal_confluence,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,mtf_reversal_confluence,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,ny_close_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,ny_close_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,ny_close_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,ny_close_reversal,0
-0.156652,-0.12686,84,0.808535,-13.158796,0.535714,0.429845,baseline,orb_trap,45
-0.53803,-0.480022,24,0.438585,-12.91273,0.375,0.211591,gated_TRENDING,orb_trap,9
0.472285,0.362261,13,1.890141,6.139711,0.769231,0.497431,gated_RANGING,orb_trap,10
-0.135868,-0.108884,47,0.835541,-6.385777,0.553191,0.412452,gated_CHOP,orb_trap,26
0.0,0.0,0,0.0,0,0.0,0.0,baseline,pd_eurjpy_h20_bbpb3_sell,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,pd_eurjpy_h20_bbpb3_sell,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,pd_eurjpy_h20_bbpb3_sell,0
