strategy,regime,direction,n,wins,wr,mean_pnl
sr_channel_reversal,range_wide,SELL,9,2,0.2222222222222222,0.08888888888888885
sr_channel_reversal,trend_up_strong,BUY,10,1,0.1,-1.78
sr_channel_reversal,trend_up_strong,SELL,8,3,0.375,3.5375
sr_channel_reversal,trend_up_weak,SELL,1,0,0.0,-4.8
sr_fib_confluence,range_tight,BUY,3,3,1.0,27.900000000000002
sr_fib_confluence,range_tight,SELL,3,0,0.0,-6.733333333333334
sr_fib_confluence,range_wide,BUY,10,3,0.3,-4.04
sr_fib_confluence,trend_up_strong,BUY,8,1,0.125,-9.1375
sr_fib_confluence,trend_up_weak,BUY,17,1,0.058823529411764705,-9.858823529411765
sr_fib_confluence,trend_up_weak,SELL,8,2,0.25,-3.5375
stoch_trend_pullback,range_tight,BUY,34,9,0.2647058823529412,0.03823529411764711
stoch_trend_pullback,range_tight,SELL,40,5,0.125,-3.1325
stoch_trend_pullback,range_wide,BUY,6,1,0.16666666666666666,-1.45
stoch_trend_pullback,range_wide,SELL,7,2,0.2857142857142857,-0.7428571428571425
stoch_trend_pullback,trend_up_strong,BUY,2,1,0.5,1.2499999999999998
stoch_trend_pullback,trend_up_strong,SELL,4,2,0.5,3.65
stoch_trend_pullback,trend_up_weak,BUY,1,0,0.0,-6.3
streak_reversal,range_tight,BUY,1,0,0.0,-0.9
streak_reversal,range_tight,SELL,3,0,0.0,-0.8000000000000002
trend_rebound,range_tight,BUY,7,3,0.42857142857142855,1.8285714285714287
trend_rebound,range_tight,SELL,13,3,0.23076923076923078,0.8615384615384616
trend_rebound,range_wide,BUY,1,0,0.0,-4.7
trend_rebound,range_wide,SELL,5,2,0.4,-0.6399999999999997
trendline_sweep,range_wide,BUY,1,1,1.0,1.4
v_reversal,range_tight,BUY,10,1,0.1,-4.039999999999999
v_reversal,range_tight,SELL,3,1,0.3333333333333333,0.5666666666666665
vix_carry_unwind,range_tight,SELL,5,0,0.0,-18.48
vol_momentum_scalp,range_tight,BUY,1,0,0.0,-3.0
vol_momentum_scalp,range_tight,SELL,2,0,0.0,-2.2
vol_momentum_scalp,range_wide,SELL,5,1,0.2,-0.9
vol_momentum_scalp,trend_up_strong,SELL,1,0,0.0,-9.7
vol_spike_mr,range_tight,BUY,3,0,0.0,-6.833333333333333
vol_surge_detector,range_tight,BUY,9,3,0.3333333333333333,-0.8222222222222223
vol_surge_detector,range_tight,SELL,24,8,0.3333333333333333,1.8375000000000001
vol_surge_detector,range_wide,BUY,2,0,0.0,-1.75
vol_surge_detector,range_wide,SELL,1,0,0.0,-4.9
vol_surge_detector,trend_up_strong,BUY,7,1,0.14285714285714285,-1.2428571428571427
vol_surge_detector,trend_up_weak,BUY,4,0,0.0,-5.449999999999999
vwap_mean_reversion,range_tight,BUY,3,0,0.0,-0.8000000000000002
vwap_mean_reversion,range_wide,BUY,2,0,0.0,-4.55
vwap_mean_reversion,range_wide,SELL,2,0,0.0,-11.35
vwap_mean_reversion,trend_up_strong,SELL,3,2,0.6666666666666666,22.633333333333336
vwap_mean_reversion,trend_up_weak,BUY,3,3,1.0,15.933333333333335
vwap_mean_reversion,trend_up_weak,SELL,5,0,0.0,-15.14
wick_imbalance_reversion,range_wide,BUY,1,0,0.0,-1.5
wick_imbalance_reversion,trend_up_strong,BUY,1,0,0.0,-1.4
