pair,onset,side,z,d1_close,entry_ts,entry_price,entry_ny_hour,entry_delay_days,exit5_ts,exit10_ts,h_cal5,h_cal10,mfe5,block,year
AUD_NZD,2014-05-14,L,-2.3024101860525783,1.08066,2014-05-14 23:00:00+00:00,1.08161,19,0,2014-05-21 23:00:00+00:00,2014-05-28 23:00:00+00:00,7.0,14.0,37.50000000000142,2014-B10,2014
AUD_NZD,2014-06-17,L,-2.1564737352604526,1.07738,2014-06-17 23:00:00+00:00,1.07797,19,0,2014-06-24 23:00:00+00:00,2014-07-01 23:00:00+00:00,7.0,14.0,43.69999999999985,2014-B13,2014
AUD_NZD,2014-06-25,L,-2.416524775081881,1.07555,2014-06-25 23:00:00+00:00,1.07641,19,0,2014-07-02 23:00:00+00:00,2014-07-09 23:00:00+00:00,7.0,14.0,72.49999999999979,2014-B13,2014
AUD_NZD,2014-07-02,L,-2.150318876072892,1.0756,2014-07-02 23:00:00+00:00,1.07614,19,0,2014-07-09 23:00:00+00:00,2014-07-16 23:00:00+00:00,7.0,14.0,3.2999999999994145,2014-B14,2014
AUD_NZD,2014-08-20,S,2.0307024489923844,1.10845,2014-08-20 23:00:00+00:00,1.10891,19,0,2014-08-27 23:00:00+00:00,2014-09-03 23:00:00+00:00,7.0,14.0,35.89999999999982,2014-B17,2014
AUD_NZD,2014-08-25,S,2.3786236382111907,1.11405,2014-08-25 23:00:00+00:00,1.11585,19,0,2014-09-01 23:00:00+00:00,2014-09-08 23:00:00+00:00,7.0,14.0,38.49999999999909,2014-B18,2014
AUD_NZD,2014-09-29,S,2.4325884681127636,1.12235,2014-09-29 23:00:00+00:00,1.1217,19,0,2014-10-06 23:00:00+00:00,2014-10-13 23:00:00+00:00,7.0,14.0,103.4999999999986,2014-B20,2014
AUD_NZD,2014-10-03,S,2.17527411455629,1.11573,2014-10-05 23:00:00+00:00,1.12074,19,2,2014-10-12 23:00:00+00:00,2014-10-19 23:00:00+00:00,7.0,14.0,138.9000000000018,2014-B20,2014
AUD_NZD,2014-10-22,S,2.1854048604330356,1.1066,2014-10-22 23:00:00+00:00,1.11624,19,0,2014-10-29 23:00:00+00:00,2014-11-06 00:00:00+00:00,7.0,14.041666666666666,30.49999999999997,2014-B22,2014
AUD_NZD,2014-12-11,L,-2.2136138102914864,1.05765,2014-12-12 00:00:00+00:00,1.06042,19,0,2014-12-19 00:00:00+00:00,2014-12-29 00:00:00+00:00,7.0,17.0,44.10000000000025,2014-B25,2014
AUD_NZD,2014-12-16,L,-2.0771794497348757,1.05345,2014-12-17 00:00:00+00:00,1.05581,19,0,2014-12-24 00:00:00+00:00,2015-01-02 03:00:00+00:00,7.0,16.125,40.70000000000018,2014-B26,2014
AUD_NZD,2015-02-10,L,-2.105355250346052,1.04925,2015-02-11 00:00:00+00:00,1.04847,19,0,2015-02-18 00:00:00+00:00,2015-02-25 00:00:00+00:00,7.0,14.0,5.1000000000001044,2015-B04,2015
AUD_NZD,2015-07-16,S,2.1995277895321936,1.13578,2015-07-16 23:00:00+00:00,1.13659,19,0,2015-07-23 23:00:00+00:00,2015-07-30 23:00:00+00:00,7.0,14.0,301.1000000000008,2015-B15,2015
AUD_NZD,2015-08-04,S,2.743839841978234,1.12799,2015-08-04 23:00:00+00:00,1.12823,19,0,2015-08-11 23:00:00+00:00,2015-08-18 23:00:00+00:00,7.0,14.0,149.40000000000174,2015-B16,2015
AUD_NZD,2015-08-24,S,2.091446236620497,1.10294,2015-08-24 23:00:00+00:00,1.11003,19,0,2015-08-31 23:00:00+00:00,2015-09-07 23:00:00+00:00,7.0,14.0,155.30000000000044,2015-B18,2015
AUD_NZD,2016-02-10,L,-2.079352735839014,1.06051,2016-02-11 00:00:00+00:00,1.06175,19,0,2016-02-18 00:00:00+00:00,2016-02-25 00:00:00+00:00,7.0,14.0,256.0000000000007,2016-B03,2016
AUD_NZD,2016-03-09,S,2.9148740185979944,1.12451,2016-03-10 00:00:00+00:00,1.12545,19,0,2016-03-16 23:00:00+00:00,2016-03-23 23:00:00+00:00,6.958333333333333,13.958333333333334,109.70000000000145,2016-B05,2016
AUD_NZD,2016-03-14,S,2.1410087081696596,1.12505,2016-03-14 23:00:00+00:00,1.1249,19,0,2016-03-21 23:00:00+00:00,2016-03-28 23:00:00+00:00,7.0,14.0,101.10000000000063,2016-B06,2016
AUD_NZD,2016-08-01,L,-2.243739576398232,1.0504,2016-08-01 23:00:00+00:00,1.04971,19,0,2016-08-08 23:00:00+00:00,2016-08-15 23:00:00+00:00,7.0,14.0,246.69999999999968,2016-B16,2016
AUD_NZD,2016-08-16,L,-2.0936051310597263,1.05649,2016-08-16 23:00:00+00:00,1.05704,19,0,2016-08-23 23:00:00+00:00,2016-08-30 23:00:00+00:00,7.0,14.0,8.399999999999519,2016-B17,2016
